"species","decimalLatitude","decimalLongitude","date","year","month","day","original_x","original_y","correction_status","correction_distance_km","correction_x","correction_y","env"
"Rhincodon typus",-10.7091412742382,105.581717451524,19729,2024,1,7,105.63788,-10.53279,"corrected",20.4517548149208,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19727,2024,1,5,105.63647,-10.52182,"corrected",21.5688228201447,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19751,2024,1,29,105.61072,-10.53537,"corrected",19.4814221690504,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19724,2024,1,2,105.5772,-10.47906,"corrected",25.4545091854075,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19734,2024,1,12,105.6324,-10.53292,"corrected",20.265801246393,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.332409972299,19723,2024,1,1,105.47976,-10.46016,"corrected",16.1321646107678,105.332409972299,-10.4598337950138,4122.56201171875
"Rhincodon typus",-10.7091412742382,105.581717451524,19743,2024,1,21,105.55613,-10.50283,"corrected",22.9916205918041,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-11.34084,106.12076,19730,2024,1,8,106.12076,-11.34084,"original",0,NA,NA,5766.53759765625
"Rhincodon typus",-10.7091412742382,105.581717451524,19731,2024,1,9,105.63388,-10.52228,"corrected",21.4427695467792,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-12.10874,106.40763,19739,2024,1,17,106.40763,-12.10874,"original",0,NA,NA,5461.5732421875
"Rhincodon typus",-10.4598337950138,105.831024930748,19739,2024,1,17,105.68008,-10.5462,"corrected",19.0862370976629,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19738,2024,1,16,105.61961,-10.52191,"corrected",21.1210325257289,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19728,2024,1,6,105.5863,-10.51835,"corrected",21.1097527723489,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19743,2024,1,21,105.54305,-10.51405,"corrected",21.9903501703148,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19726,2024,1,4,105.61871,-10.5106,"corrected",22.3310021777151,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19734,2024,1,12,105.63888,-10.52566,"corrected",21.237282165782,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19732,2024,1,10,105.63816,-10.54916,"corrected",18.7426517030524,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19739,2024,1,17,105.62287,-10.51646,"corrected",21.7834038022317,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19730,2024,1,8,105.56276,-10.50471,"corrected",22.7074932219632,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19736,2024,1,14,105.56876,-10.51357,"corrected",21.6789367169797,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19742,2024,1,20,105.58263,-10.5036,"corrected",22.7355310067388,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19738,2024,1,16,105.63211,-10.55343,"corrected",18.0846586146877,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.58761,105.63074,19733,2024,1,11,105.63074,-10.58761,"original",0,NA,NA,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19723,2024,1,1,105.57168,-10.5077,"corrected",22.3088621461791,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19740,2024,1,18,105.61144,-10.51173,"corrected",22.0769442697321,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19729,2024,1,7,105.61148,-10.51104,"corrected",22.1530796859884,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19735,2024,1,13,105.62743,-10.52376,"corrected",21.106694470708,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19729,2024,1,7,105.60805,-10.5123,"corrected",21.962843143955,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19731,2024,1,9,105.62396,-10.51752,"corrected",21.6938023477997,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19749,2024,1,27,105.63452,-10.47832,"corrected",21.6100159406222,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.4598337950138,105.831024930748,19742,2024,1,20,105.61842,-10.46104,"corrected",23.2766881193619,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.4598337950138,105.831024930748,19750,2024,1,28,105.59751,-10.45187,"corrected",25.5811099065993,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19732,2024,1,10,105.63132,-10.52185,"corrected",21.4159130817674,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19725,2024,1,3,105.62896,-10.49276,"corrected",22.4190478803389,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19737,2024,1,15,105.62147,-10.55797,"corrected",17.2778602328226,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19750,2024,1,28,105.63197,-10.5196,"corrected",21.6746954203846,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19739,2024,1,17,105.62155,-10.51973,"corrected",21.3997562523824,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19753,2024,1,31,105.62531,-10.54158,"corrected",19.1382677682494,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19731,2024,1,9,105.61272,-10.51717,"corrected",21.5036160900827,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-12.9648,107.43807,19742,2024,1,20,107.43807,-12.9648,"original",0,NA,NA,3685.61596679688
"Rhincodon typus",-10.7091412742382,105.581717451524,19742,2024,1,20,105.60552,-10.51653,"corrected",21.463734170081,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19742,2024,1,20,105.61545,-10.51175,"corrected",22.1436639819515,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19747,2024,1,25,105.62943,-10.47595,"corrected",22.1422620491385,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19734,2024,1,12,105.62698,-10.53481,"corrected",19.9090362355579,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19750,2024,1,28,105.60314,-10.47145,"corrected",24.9818312143649,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19747,2024,1,25,105.60421,-10.51304,"corrected",21.8303396865947,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19733,2024,1,11,105.621,-10.51087,"corrected",22.3484766771321,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-12.85037,103.40769,19729,2024,1,7,103.40769,-12.85037,"original",0,NA,NA,3914.55908203125
"Rhincodon typus",-10.7091412742382,105.581717451524,19741,2024,1,19,105.63497,-10.52043,"corrected",21.6718568138874,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19736,2024,1,14,105.58049,-10.51752,"corrected",21.1960289084257,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19736,2024,1,14,105.5874,-10.50587,"corrected",22.4928216384616,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19739,2024,1,17,105.68617,-10.53541,"corrected",17.9256297467032,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19747,2024,1,25,105.63051,-10.51208,"corrected",22.4417372783751,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-13.49543,106.76743,19742,2024,1,20,106.76743,-13.49543,"original",0,NA,NA,4841.7060546875
"Rhincodon typus",-10.4598337950138,105.831024930748,19728,2024,1,6,105.63816,-10.50894,"corrected",21.8010080786834,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19733,2024,1,11,105.55182,-10.547,"corrected",18.2307071183109,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19728,2024,1,6,105.60091,-10.50726,"corrected",22.4290225749034,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19743,2024,1,21,105.54157,-10.5177,"corrected",21.6266150586802,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19747,2024,1,25,105.62366,-10.5181,"corrected",21.6241330213867,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19732,2024,1,10,105.63115,-10.52175,"corrected",21.4219085750439,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-11.36723,108.36545,19750,2024,1,28,108.36545,-11.36723,"original",0,NA,NA,5338.00732421875
"Rhincodon typus",-10.7091412742382,105.581717451524,19738,2024,1,16,105.62591,-10.52492,"corrected",20.9430307195835,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19727,2024,1,5,105.64576,-10.5035,"corrected",20.8488838640745,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.4598337950138,105.831024930748,19734,2024,1,12,105.63512,-10.51467,"corrected",22.2873566038389,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19730,2024,1,8,105.56447,-10.50028,"corrected",23.1795095031433,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19728,2024,1,6,105.60594,-10.51247,"corrected",21.9150781676963,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19728,2024,1,6,105.61545,-10.51642,"corrected",21.6345036283628,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19746,2024,1,24,105.62101,-10.51776,"corrected",21.6013014884539,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19747,2024,1,25,105.60429,-10.53486,"corrected",19.4351949182342,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19723,2024,1,1,105.58296,-10.50475,"corrected",22.6085177159171,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19726,2024,1,4,105.61529,-10.51278,"corrected",22.0284089062141,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19746,2024,1,24,105.60721,-10.47966,"corrected",24.6008027797789,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19740,2024,1,18,105.61687,-10.51262,"corrected",22.0753295212503,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",9.05932,123.26589,19769,2024,2,16,123.26589,9.05932,"original",0,NA,NA,427.518188476562
"Rhincodon typus",0.260387811634395,123.03324099723,19770,2024,2,17,123.01074,0.51774,"corrected",28.5665662210024,123.03324099723,0.260387811634395,1548.4375
"Rhincodon typus",9.41217,123.50675,19758,2024,2,5,123.50675,9.41217,"original",0,NA,NA,566.537414550781
"Rhincodon typus",0.260387811634395,123.03324099723,19770,2024,2,17,123.03773,0.43292,"corrected",19.0841722469451,123.03324099723,0.260387811634395,1548.4375
"Rhincodon typus",9.44548,123.37188,19755,2024,2,2,123.37188,9.44548,"original",0,NA,NA,238.074722290039
"Rhincodon typus",-10.7091412742382,105.581717451524,19761,2024,2,8,105.61135,-10.5138,"corrected",21.8490380500597,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19781,2024,2,28,105.60978,-10.5266,"corrected",20.4234252746605,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19770,2024,2,17,105.57156,-10.50578,"corrected",22.5216249604536,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19765,2024,2,12,105.61361,-10.51161,"corrected",22.126282659293,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19772,2024,2,19,105.5837,-10.58205,"corrected",14.059516314299,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19761,2024,2,8,105.62758,-10.52919,"corrected",20.5276753473435,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.332409972299,19762,2024,2,9,105.53758,-10.49937,"corrected",22.8827062954335,105.332409972299,-10.4598337950138,4122.56201171875
"Rhincodon typus",-10.7091412742382,105.581717451524,19755,2024,2,2,105.63461,-10.5159,"corrected",22.1445644400451,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19766,2024,2,13,105.60855,-10.51495,"corrected",21.6796320631705,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.57988,-10.50369,"corrected",22.7262462116352,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19758,2024,2,5,105.61082,-10.5138,"corrected",21.84050598903,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19761,2024,2,8,105.62467,-10.53288,"corrected",20.0551389700437,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19769,2024,2,16,105.68507,-10.46928,"corrected",16.0132776848261,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.58495,105.51538,19769,2024,2,16,105.51538,-10.58495,"original",0,NA,NA,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.60177,-10.51829,"corrected",21.2241679385121,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.56332,-10.51042,"corrected",22.0729445106723,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19763,2024,2,10,105.58306,-10.50621,"corrected",22.4470972595568,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19765,2024,2,12,105.56974,-10.50051,"corrected",23.114291788283,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19754,2024,2,1,105.62901,-10.52233,"corrected",21.3017397383186,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19757,2024,2,4,105.61743,-10.51377,"corrected",21.9609045397488,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.60272,-10.51145,"corrected",21.9874593836628,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19781,2024,2,28,105.59234,-10.5333,"corrected",19.484857876925,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19770,2024,2,17,105.63173,-10.52444,"corrected",21.1504669933325,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.45399,105.72039,19756,2024,2,3,105.72039,-10.45399,"original",0,NA,NA,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19754,2024,2,1,105.63234,-10.51816,"corrected",21.8390396175568,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19765,2024,2,12,105.58493,-10.54487,"corrected",18.1737821589393,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19782,2024,2,29,105.59033,-10.51398,"corrected",21.6077303221147,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19779,2024,2,26,105.54691,-10.50719,"corrected",22.6606288146705,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19756,2024,2,3,105.62633,-10.51629,"corrected",21.8831430893322,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19769,2024,2,16,105.63196,-10.51211,"corrected",22.4767986789473,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19760,2024,2,7,105.62352,-10.51776,"corrected",21.6576451044353,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19757,2024,2,4,105.68402,-10.40046,"corrected",17.3841219056803,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19765,2024,2,12,105.56472,-10.50028,"corrected",23.1772979400158,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19782,2024,2,29,105.62402,-10.53155,"corrected",20.1817544671374,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.56746,-10.50965,"corrected",22.1212010059791,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19764,2024,2,11,105.58206,-10.50139,"corrected",22.9797929761888,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19771,2024,2,18,105.62997,-10.52182,"corrected",21.3821652806998,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19767,2024,2,14,105.61243,-10.50662,"corrected",22.6519770418717,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19756,2024,2,3,105.61883,-10.52477,"corrected",20.7940914120415,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19760,2024,2,7,105.60502,-10.50256,"corrected",22.9921916277529,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19765,2024,2,12,105.57868,-10.52551,"corrected",20.314538232241,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19758,2024,2,5,105.66291,-10.52854,"corrected",19.9108790320231,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19762,2024,2,9,105.56012,-10.50689,"corrected",22.4958932401462,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19770,2024,2,17,105.63873,-10.52971,"corrected",20.8046558731953,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19760,2024,2,7,105.62727,-10.51955,"corrected",21.5553364223099,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.62926,-10.52377,"corrected",21.1539749444479,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19771,2024,2,18,105.62411,-10.52168,"corrected",21.2480235075964,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19763,2024,2,10,105.59316,-10.50264,"corrected",22.8757940514944,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19780,2024,2,27,105.57166,-10.50896,"corrected",22.1697705317214,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19775,2024,2,22,105.56333,-10.50641,"corrected",22.5145864427406,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19779,2024,2,26,105.57364,-10.51515,"corrected",21.4759493239448,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19755,2024,2,2,105.61998,-10.52089,"corrected",21.2396176744606,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19781,2024,2,28,105.58817,-10.52473,"corrected",20.4103125466372,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19763,2024,2,10,105.56802,-10.52469,"corrected",20.4575026361181,105.581717451524,-10.7091412742382,3114.38818359375
