"methodID","AUC_mean","AUC_sd","TSS_mean","TSS_sd","Boyce_mean","Boyce_sd"
"brt",0.933059807256236,0.0302733087574407,0.836574074074074,0.0566241089778295,0.278414179543085,0.217040991220923
"rf",0.946988851095994,0.0163745709668034,0.857460317460317,0.0479283933529259,0.717132675310503,0.0707648284758038
"svm",0.920967498110355,0.0368892966921748,0.799206349206349,0.0930367277125101,0.61394582031641,0.225709563773896
"Ensemble",0.946751700680272,0.020701582568678,0.858095238095238,0.0541071101157635,0.618712202811659,0.188468646256849
