"Value","Response","lower","upper","variable"
2.6012716293335,0.668320288531661,0.632747380624044,0.703893196439279,"Depth"
90.6735796494917,0.730670277462814,0.703259316938269,0.758081237987359,"Depth"
178.74588766965,0.745527390216144,0.719595022378492,0.771459758053796,"Depth"
266.818195689808,0.742917096169779,0.717698955402036,0.768135236937523,"Depth"
354.890503709966,0.737864214874785,0.713009835214106,0.762718594535463,"Depth"
442.962811730125,0.73340227387691,0.709150447098169,0.75765410065565,"Depth"
531.035119750283,0.728498669239088,0.704863609893596,0.752133728584579,"Depth"
619.107427770441,0.725849346005407,0.703388360282503,0.74831033172831,"Depth"
707.179735790599,0.722658341412665,0.701380345427245,0.743936337398086,"Depth"
795.252043810758,0.717276825263061,0.696892202067583,0.737661448458539,"Depth"
883.324351830916,0.712588228493332,0.693345465083223,0.731830991903441,"Depth"
971.396659851074,0.70683815271971,0.688667661239798,0.725008644199621,"Depth"
1059.46896787123,0.698123592772433,0.680566502335424,0.715680683209442,"Depth"
1147.54127589139,0.688806985529866,0.671832926890271,0.705781044169461,"Depth"
1235.61358391155,0.675734968527062,0.658614446207685,0.692855490846439,"Depth"
1323.68589193171,0.659029721671294,0.64117140433058,0.676888039012009,"Depth"
1411.75819995187,0.651723030654914,0.635247486985221,0.668198574324606,"Depth"
1499.83050797202,0.643393235465535,0.628182699826017,0.658603771105053,"Depth"
1587.90281599218,0.635787395465913,0.6220269708791,0.649547820052726,"Depth"
1675.97512401234,0.620875170829716,0.607108912522628,0.634641429136805,"Depth"
1764.0474320325,0.599721228834947,0.584919643306089,0.614522814363805,"Depth"
1852.11974005266,0.586973158179545,0.572764741448087,0.601181574911002,"Depth"
1940.19204807281,0.577460031060734,0.5643719674806,0.590548094640868,"Depth"
2028.26435609297,0.561514652969928,0.548336897094757,0.5746924088451,"Depth"
2116.33666411313,0.545285572250946,0.531953765660683,0.558617378841208,"Depth"
2204.40897213329,0.534910730337535,0.522132872336786,0.547688588338284,"Depth"
2292.48128015345,0.523491791702407,0.510830183520871,0.536153399883943,"Depth"
2380.55358817361,0.512799020804825,0.499997557771503,0.525600483838147,"Depth"
2468.62589619376,0.500501498581617,0.487179178047848,0.513823819115386,"Depth"
2556.69820421392,0.483896295184786,0.469805353880217,0.497987236489355,"Depth"
2644.77051223408,0.470171372209409,0.455334353023706,0.485008391395111,"Depth"
2732.84282025424,0.459546257990749,0.443871137909801,0.475221378071697,"Depth"
2820.9151282744,0.447568418084836,0.430990312638639,0.464146523531032,"Depth"
2908.98743629456,0.436110975734798,0.41861097105835,0.453610980411246,"Depth"
2997.05974431471,0.432398060714625,0.413312625320398,0.451483496108852,"Depth"
3085.13205233487,0.425371211604752,0.404871003685585,0.44587141952392,"Depth"
3173.20436035503,0.415634891560759,0.393847287978826,0.437422495142691,"Depth"
3261.27666837519,0.401014215980316,0.378747264670947,0.423281167289686,"Depth"
3349.34897639535,0.350427368405833,0.330236303604444,0.370618433207221,"Depth"
3437.4212844155,0.341678057908304,0.321058657982175,0.362297457834433,"Depth"
3525.49359243566,0.317732509452096,0.297716667625755,0.337748351278437,"Depth"
3613.56590045582,0.310808789701711,0.290655874118129,0.330961705285293,"Depth"
3701.63820847598,0.306004571614528,0.285448411820698,0.326560731408358,"Depth"
