"methodID","AUC_mean","AUC_sd","TSS_mean","TSS_sd","Boyce_mean","Boyce_sd"
"brt",0.915348110239138,0.0263480391939993,0.726046794176174,0.0657722832218931,0.770387208899813,0.167833425852235
"rf",0.921492315155003,0.0346921175974321,0.767233593001787,0.0959141613780853,0.725933092551731,0.168636489068933
"svm",0.840909822560958,0.0578636113874535,0.723276838166326,0.0985617745568468,0.542797658208355,0.263619161906095
"Ensemble",0.906111773735185,0.0457958378666651,0.754949280728256,0.0930653615447783,0.633430098459601,0.196421517870662
