"variables","corTest","AUCtest"
"Depth",0.4321,0.2396
"Mixed_layer_depth",0.0265,0.0332
"Net_primary_productivity",0.058,0.0508
"Sea_surface_height",0.0812,0.0508
"Temperature",0.299,0.176
