"methodID","AUC_mean","AUC_sd","TSS_mean","TSS_sd","Boyce_mean","Boyce_sd"
"brt",0.787865714610615,0.0734202184929271,0.557176349492215,0.116263450205297,0.497716171728199,0.304467430497858
"rf",0.879429125398731,0.0229235641588575,0.676168459648927,0.0502255157145319,0.798336472727491,0.151043546326871
"svm",0.866782143351025,0.0336627178756679,0.692892929477515,0.0723382971080918,0.57189487317992,0.293441371365839
"Ensemble",0.878646227493027,0.0284066312727061,0.707491401548679,0.0725560315634555,0.667673190100246,0.214378921218455
