"variables","corTest","AUCtest"
"Depth",0.0527,0.0372
"Dissolved_oxygen",0.1959,0.1356
"Mixed_layer_depth",0.4323,0.31
"Salinity",0.1816,0.1256
"Temperature",0.1488,0.0904
