"Temporal_bin","Volume_km3","Group","Volume"
"Q1",696454.650238367,"PD",0.696454650238367
"Q2",653136.986396101,"PD",0.653136986396101
"Q3",946894.884920457,"PD",0.946894884920457
"Q4",631512.955209185,"PD",0.631512955209185
"Q1",8264720.26264623,"TD",8.26472026264623
"Q2",4352986.49719448,"TD",4.35298649719448
"Q3",4620587.7108582,"TD",4.6205877108582
"Q4",5094608.24439691,"TD",5.09460824439691
