"variables","corTest","AUCtest"
"Depth",0.1483,0.0892
"Mixed_layer_depth",0.1528,0.1176
"Net_primary_productivity",0.0425,0.022
"Salinity",0.0524,0.0292
"Sea_surface_height",0.2749,0.1552
"Temperature",0.1706,0.106
