"methodID","AUC_mean","AUC_sd","TSS_mean","TSS_sd","Boyce_mean","Boyce_sd"
"brt",0.851691661950575,0.0595088451341162,0.635058075295766,0.101277777077098,0.446362956114609,0.20410649444101
"rf",0.881458538820169,0.0747695600440486,0.715759964427197,0.125853483552832,0.494229002026978,0.165330751041277
"svm",0.904121351766513,0.0675912875144773,0.746048319724041,0.143991297180222,0.41215180346858,0.242349879903766
"Ensemble",0.890557994448487,0.070058858624637,0.757180316382354,0.108784594986772,0.646749632687375,0.193114687155135
